YEAR,Customer_num ,Establishment_Date,Number_of_Emp,Profit,Sector,Region,Total Risk ,Total Limit,Sales
2017,RATI9590GZD,36917,8,,RETAIL-WHOLESALE,Marmara Region,70917,7000007,3
2015,RATI2539VHR,34389,21,32615,MANUFACTURING,Central Anatolia Region,682602,2354029,0
2010,RATI4481GNN,35089,7,282834,RETAIL-WHOLESALE,Mediterranean Region,115581,592922,0
2012,RATI4948THA,38084,34,35597,MANUFACTURING,Southeastern Anatolia Region,39334,2471021,1
2013,RATI8841WYZ,38831,15,134259,SERVICES,Aegean Region,71295,506238,0
2011,RATI6581GZV,39109,25,,OTHERS,Marmara Region,524053,1225401,3
2017,RATI9051OKI,36693,8,6481,MANUFACTURING,Marmara Region,107145,873191,0
2012,RATI8817WSE,35878,13,,MANUFACTURING,Eastern Anatolia Region,299797,701336,3
2014,RATI8420EUQ,40125,3,45293,MANUFACTURING,Mediterranean Region,1513099,2291052,0
2012,RATI7366ECM,38704,21,7825,RETAIL-WHOLESALE,Central Anatolia Region,355087,1512329,1
2014,RATI2688JXY,40054,5,-913,MANUFACTURING,Central Anatolia Region,637080,3116008,0
2011,RATI3257YUU,38912,2,9155,MANUFACTURING,Marmara Region,528731,569828,0
2015,RATI7536QZP,39433,5,,RETAIL-WHOLESALE,Marmara Region,2895474,7150547,3
2014,RATI5168OUH,39862,1,29041,RETAIL-WHOLESALE,Marmara Region,43043,269345,0
2010,RATI4596AHS,33631,,,MANUFACTURING,Marmara Region,762480,2252312,3
2015,RATI4542ABU,38179,32,65253,MANUFACTURING,Marmara Region,520310,3552403,1
2012,RATI3428CAM,34707,7,,RETAIL-WHOLESALE,Aegean Region,56861,213952,3
2013,RATI5011OYT,37279,3,7469,RETAIL-WHOLESALE,Marmara Region,89164,1006931,0
2017,RATI1889JMX,29245,18,147915,OTHERS,Marmara Region,1287,57922,0
2016,RATI7563DMA,35729,18,95268,MANUFACTURING,Marmara Region,792279,995268,0
2017,RATI6651WBN,34700,28,21454,RETAIL-WHOLESALE,Central Anatolia Region,2855415,5564834,1
2014,RATI5490VHS,39208,4,,RETAIL-WHOLESALE,Aegean Region,836563,1652523,3
2016,RATI2962KGB,39788,9,85440,MANUFACTURING,,77663,492653,1
2017,RATI8186ITE,39947,39,65824,SERVICES,Aegean Region,953252,1611204,0
2012,RATI1744GHE,35075,2,52600,RETAIL-WHOLESALE,Marmara Region,185328,235639,0
2015,RATI9475NNY,36799,1,38313,MANUFACTURING,Central Anatolia Region,54008,1521978,0
2017,RATI1257XSB,36483,18,,OTHERS,Marmara Region,518191,4635538,3
2017,RATI4773YPA,33979,5,183409,OTHERS,Central Anatolia Region,193300,665422,0
2011,RATI9822AVJ,36544,31,125213,OTHERS,Central Anatolia Region,619453,1469221,0
2015,RATI8319COT,33982,1,,RETAIL-WHOLESALE,Central Anatolia Region,1130402,1496911,3
2015,RATI8005QIS,41651,4,4963,RETAIL-WHOLESALE,Aegean Region,457873,1442822,0
2015,RATI4213AEV,39668,58,104089,MANUFACTURING,Marmara Region,151870,914147,0
2011,RATI1384KLT,36279,8,-463688,RETAIL-WHOLESALE,Marmara Region,165469,547063,0
2010,RATI9120QUZ,35132,6,,RETAIL-WHOLESALE,,209908,397678,3
2017,RATI5565MIG,41240,2,80820,RETAIL-WHOLESALE,Marmara Region,12678,3211370,0
2017,RATI8837COA,34103,20,30072,SERVICES,Mediterranean Region,432727,1736335,0
2016,RATI9447DOV,40363,19,,MANUFACTURING,Marmara Region,125759,383150,3
2015,RATI4182ZUL,36648,2,-74417,RETAIL-WHOLESALE,,172105,12669708,0
2012,RATI4768ZMP,33605,1,226680,RETAIL-WHOLESALE,Aegean Region,319195,774542,0
2014,RATI9717XQO,38356,25,317364,SERVICES,Marmara Region,398482,11675448,1
2010,RATI4283JSN,38606,,8882,RETAIL-WHOLESALE,Eastern Anatolia Region,770297,1403481,0
2012,RATI2805VEZ,38345,3,20394,RETAIL-WHOLESALE,Aegean Region,1759091,2278725,1
2015,RATI7624BQV,37233,10,148059,OTHERS,,25654,75259,0
2014,RATI9735HMX,38941,14,979,RETAIL-WHOLESALE,Marmara Region,399793,1023803,0
2014,RATI6193XCF,40478,10,208437,OTHERS,Marmara Region,98305,233707,0
2011,RATI8343XJN,39082,5,409334,OTHERS,Aegean Region,227464,475455,0
2010,RATI1952YVN,37233,3,77703,MANUFACTURING,Marmara Region,154759,379298,0
2015,RATI2732MIF,34242,14,-214288,RETAIL-WHOLESALE,Mediterranean Region,549791,716547,0
2016,RATI9027CIO,40638,15,69818,MANUFACTURING,Mediterranean Region,208441,1361699,0
2010,RATI6245IHU,39500,,271537,RETAIL-WHOLESALE,Marmara Region,,,0
2017,RATI3969JES,37706,178,267308,OTHERS,Aegean Region,1434078,4405646,1
2013,RATI6634PBE,39199,1,-231848,RETAIL-WHOLESALE,Southeastern Anatolia Region,82038,131023,0
2017,RATI8349XOK,34881,5,,MANUFACTURING,Marmara Region,31594,1569788,3
2014,RATI1676VYK,38927,20,,OTHERS,Mediterranean Region,31156,397948,3
2012,RATI7011WVF,39028,10,481658,OTHERS,,383842,630736,0
2017,RATI6254FVO,35457,20,47013,RETAIL-WHOLESALE,Central Anatolia Region,993240,2031710,0
2015,RATI8268ENA,39948,5,,SERVICES,Mediterranean Region,415818,2475532,3
